title,theme,literature,start_page,end_page,difficulty
Зв'язок між законами збереження та симетрією простору і часу,Енергія. Робота. Потенціальні(не) сили,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",201,207,2
,Гідростатика. Тиск. Закон Паскаля. Сполучені посудини,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",332,333,0
,Рух зі змінною швидкістю. Рух в полі тяжіння. Криволінійний рух. Рух зі зв’язками,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,45,59,0
,Рух зі змінною швидкістю. Рух в полі тяжіння. Криволінійний рух. Рух зі зв’язками,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,111,114,0
,Рух зі змінною швидкістю. Рух в полі тяжіння. Криволінійний рух. Рух зі зв’язками,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,213,221,0
Політ куль та снарядів,Рух зі змінною швидкістю. Рух в полі тяжіння. Криволінійний рух. Рух зі зв’язками,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,221,222,1
,Криволінійний рух. Рух зі зв’язками,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,66,70,0
,Криволінійний рух. Рух зі зв’язками,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,224,237,1
,Криволінійний рух. Рух зі зв’язками,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,238,252,2
,Енергія. Робота. Потенціальні(не) сили,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,181,212,0
Штучні супутники Землі,Енергія. Робота. Потенціальні(не) сили,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,245,252,1
Работа. Теплота. Закон збереження енергії,Енергія. Робота. Потенціальні(не) сили,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,392,409,2
,НІСВ. Сили інерції,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,253,269,0
,НІСВ. Сили інерції,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,269,274,1
Рідина в неінерціальних системах відліку,НІСВ. Сили інерції,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,353,355,1
,Гідростатика. Тиск. Закон Паскаля. Сполучені посудини,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,275,296,0
,Гідростатика. Тиск. Закон Паскаля. Сполучені посудини,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,300,303,0
,Гідростатика. Тиск. Закон Паскаля. Сполучені посудини,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,297,300,1
,Гідростатика. Тиск. Закон Паскаля. Сполучені посудини,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,303,307,1
,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,76,90,0
Одиниці сили та маси,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,100,100,0
Третій закон Ньютона,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,101,104,0
Вага тіла,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,115,118,0
Густина тіла,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,118,119,0
Виникнення деформацій,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,119,122,0
,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,515,517,0
Сили тертя,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,128,134,0
Додавання напрямлених під кутом сил,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,91,92,1
Приклади використання третього закону Ньютона,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,105,106,1
,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,123,128,1
Розтяг та стискання,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,517,519,1
Опір середовища,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,134,137,1
,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,92,99,2
Системи одиниць,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,100,101,2
Імпульс тіла,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,107,111,2
